show_id,new_rating
s1775,teens
s1776,teens
s1777,teens
s1778,teens
s1779,kids
s1780,teens
s1781,adults
s1782,teens
s1783,adults
s1784,adults
s1785,teens
s1786,adults
s1787,teens
s1788,adults
s1789,adults
s1790,kids
s1791,adults
s1792,kids
s1793,teens
s1794,adults
s1795,teens
s1796,teens
s1797,adults
s1798,adults
s1799,adults
s1800,adults
s1801,adults
s1802,kids
s1803,teens
s1804,adults
s1805,adults
s1806,adults
s1807,adults
s1808,adults
s1809,teens
s1810,teens
s1811,adults
s1812,adults
s1813,kids
s1814,adults
s1815,teens
s1816,kids
s1817,teens
s1818,teens
s1819,teens
s1820,adults
s1821,teens
s1822,adults
s1823,adults
s1824,adults
s1825,adults
s1826,adults
s1827,teens
s1828,adults
s1829,adults
s1830,adults
s1831,teens
s1832,teens
s1833,adults
s1834,kids
s1835,teens
s1836,adults
s1837,adults
s1838,adults
s1839,adults
s1840,adults
s1841,adults
s1842,kids
s1843,adults
s1844,adults
s1845,kids
s1846,adults
s1847,teens
s1848,kids
s1849,teens
s1850,kids
s1851,teens
s1852,teens
s1853,kids
s1854,kids
s1855,adults
s1856,teens
s1857,teens
s1858,adults
s1859,teens
s1860,kids
s1861,adults
s1862,teens
s1863,teens
s1864,adults
s1865,kids
s1866,teens
s1867,teens
s1868,adults
s1869,adults
s1870,adults
s1871,adults
s1872,kids
s1873,adults
s1874,adults
s1875,adults
s1876,teens
s1877,adults
s1878,teens
s1879,adults
s1880,teens
s1881,adults
s1882,adults
s1883,teens
s1884,kids
s1885,teens
s1886,teens
s1887,kids
s1888,adults
s1889,teens
s1890,kids
s1891,kids
s1892,teens
s1893,kids
s1894,kids
s1895,adults
s1896,kids
s1897,adults
s1898,adults
s1899,adults
s1900,adults
s1901,teens
s1902,adults
s1903,kids
s1904,adults
s1905,teens
s1906,adults
s1907,teens
s1908,adults
s1909,adults
s1910,adults
s1911,adults
s1912,teens
s1913,teens
s1914,adults
s1915,adults
s1916,adults
s1917,teens
s1918,adults
s1919,adults
s1920,kids
s1921,teens
s1922,adults
s1923,kids
s1924,teens
s1925,teens
s1926,adults
s1927,adults
s1928,kids
s1929,adults
s1930,kids
s1931,adults
s1932,adults
s1933,adults
s1934,adults
s1935,teens
s1936,adults
s1937,adults
s1938,teens
s1939,kids
s1940,teens
s1941,adults
s1942,kids
s1943,teens
s1944,teens
s1945,teens
s1946,teens
s1947,kids
s1948,kids
s1949,adults
s1950,teens
s1951,teens
s1952,teens
s1953,kids
s1954,adults
s1955,adults
s1956,adults
s1957,adults
s1958,teens
s1959,adults
s1960,teens
s1961,kids
s1962,adults
s1963,kids
s1964,kids
s1965,adults
s1966,adults
s1967,adults
s1968,adults
s1969,adults
s1970,adults
s1971,adults
s1972,teens
s1973,teens
s1974,kids
s1975,adults
s1976,teens
s1977,adults
s1978,adults
s1979,adults
s1980,kids
s1981,teens
s1982,teens
s1983,teens
s1984,adults
s1985,adults
s1986,kids
s1987,teens
s1988,adults
s1989,adults
s1990,adults
s1991,teens
s1992,adults
s1993,adults
s1994,adults
s1995,kids
s1996,adults
s1997,adults
s1998,adults
s1999,adults
s2000,kids
s2001,adults
s2002,adults
s2003,adults
s2004,kids
s2005,kids
s2006,adults
s2007,kids
s2008,teens
s2009,adults
s2010,teens
s2011,kids
s2012,kids
s2013,adults
s2014,adults
s2015,teens
s2016,teens
s2017,teens
s2018,teens
s2019,kids
s2020,kids
s2021,kids
s2022,teens
s2023,kids
s2024,adults
s2025,adults
s2026,teens
s2027,teens
s2028,kids
s2029,teens
s2030,adults
s2031,teens
s2032,adults
s2033,kids
s2034,adults
s2035,teens
s2036,teens
s2037,adults
s2038,teens
s2039,kids
s2040,adults
s2041,kids
s2042,kids
s2043,adults
s2044,adults
s2045,teens
s2046,adults
s2047,teens
s2048,kids
s2049,adults
s2050,teens
s2051,adults
s2052,kids
s2053,kids
s2054,adults
s2055,teens
s2056,adults
s2057,kids
s2058,kids
s2059,adults
s2060,teens
s2061,teens
s2062,kids
s2063,adults
s2064,kids
s2065,adults
s2066,kids
s2067,teens
s2068,teens
s2069,adults
s2070,adults
s2071,kids
s2072,kids
s2073,adults
s2074,kids
s2075,teens
s2076,adults
s2077,kids
s2078,adults
s2079,teens
s2080,kids
s2081,kids
s2082,kids
s2083,teens
s2084,adults
s2085,kids
s2086,adults
s2087,adults
s2088,adults
s2089,adults
s2090,teens
s2091,adults
s2092,adults
s2093,teens
s2094,adults
s2095,adults
s2096,adults
s2097,adults
s2098,teens
s2099,kids
s2100,adults
s2101,teens
s2102,adults
s2103,kids
s2104,teens
s2105,adults
s2106,adults
s2107,teens
s2108,kids
s2109,adults
s2110,kids
s2111,adults
s2112,teens
s2113,teens
s2114,teens
s2115,kids
s2116,adults
s2117,kids
s2118,kids
s2119,kids
s2120,kids
s2121,teens
s2122,teens
s2123,adults
s2124,kids
s2125,adults
s2126,teens
s2127,kids
s2128,adults
s2129,kids
s2130,kids
s2131,adults
s2132,kids
s2133,adults
s2134,adults
s2135,adults
s2136,kids
s2137,kids
