Movie_Title,new_censor
The Mummy Returns,adults
The Perfect Storm,kids
Final Fantasy: The Spirits Within,kids
The Sum of All Fears,adults
Behind Enemy Lines,kids
The World Is Not Enough,adults
The Siege,adults
Star Trek: Insurrection,kids
The Jackal,adults
Twister,kids
Last Man Standing,adults
DragonHeart,kids
The Prophecy,adults
Just Cause,adults
Last Action Hero,kids
Alien³,adults
Darkman,kids
Tango & Cash,kids
Lock Up,kids
Kickboxer,kids
The Omega Man,adults
Eternals,kids
My Spy,kids
Red Notice,teens
Guns Akimbo,adults
The King's Man,teens
7500,teens
ARQ,adults
Bright,adults
Ocean's Eight,kids
Godzilla vs. Kong,kids
Free Fire,kids
Polar,adults
The Shallows,adults
Maze Runner: The Scorch Trials,kids
Risen,kids
Criminal,kids
Bastille Day,adults
White House Down,kids
Spectral,teens
Mr. Right,adults
Angry Birds,kids
Unlocked,kids
Scouts Guide to the Zombie Apocalypse,unrated
Triple 9,adults
Johnny English Reborn,kids
This Means War,adults
The Commuter,kids
The Last Stand,adults
Underworld: Awakening,adults
Central Intelligence,kids
Uncharted,kids
The American,adults
Tomb Raider,kids
Jack the Giant Slayer,kids
Terminator Genisys,kids
Ghost in the Shell,kids
The Necessary Death of Charlie Countryman,adults
Ninja Assassin,adults
Death Wish,kids
#Saraitda,teens
Repo Men,kids
Centurion,adults
Knight and Day,kids
Surrogates,kids
The Collector,adults
The Losers,adults
Beowulf,adults
Spider-Man 3,kids
Sky High,kids
Assault on Precinct 13,adults
Transporter 2,adults
Astro Boy,kids
Revolver,adults
King Arthur,kids
Paycheck,kids
Once Upon a Time in Mexico,kids
Proof of Life,kids
The 51st State,adults
Miss Congeniality,adults
Terminator 3: Rise of the Machines,kids
Osmosis Jones,kids
Blue Streak,kids
Entrapment,kids
Nick of Time,kids
Assassins,adults
The Three Musketeers,kids
The Bodyguard,kids
Predator 2,adults
A View to a Kill,kids
The Black Cauldron,kids
Red Dawn,kids
Dune,kids
Every Which Way but Loose,adults
Escape from the Planet of the Apes,kids
Spenser Confidential,adults
In the Shadow of the Moon,teens
Kate,adults
Stuber,adults
The Silencing,adults
Destroyer,adults
Johnny English Strikes Again,kids
Terminator: Dark Fate,kids
Copshop,adults
Cold Pursuit,adults
Time Trap,unrated
Maze Runner: The Death Cure,kids
The Wall,adults
Keanu,adults
Grimsby,adults
Inferno,kids
Insurgent,kids
The November Man,adults
Deliver Us from Evil,adults
Transcendence,kids
3 Days to Kill,adults
Captain Underpants: The First Epic Movie,kids
The Outsider,adults
American Assassin,adults
Parker,adults
Hummingbird,adults
Dabangg,kids
A Lonely Place to Die,adults
Transformers: Dark of the Moon,kids
Taken 2,adults
Total Recall,kids
47 Ronin,kids
The Boondock Saints II: All Saints Day,adults
300: Rise of an Empire,adults
RoboCop,kids
Jack Ryan: Shadow Recruit,kids
The Karate Kid,kids
Takers,teens
The Eagle,teens
The Warrior's Way,adults
The Legend of Tarzan,kids
Dracula Untold,kids
Ong Bak 2,adults
War,adults
Rogue,adults
Tower Heist,adults
Hitman,teens
Outlander,kids
TMNT,kids
Knowing,kids
Next,kids
Resident Evil: Extinction,adults
Feast,adults
Zathura: A Space Adventure,kids
Indiana Jones and the Kingdom of the Crystal Skull,kids
After the Sunset,teens
Walking Tall,teens
Shanghai Knights,kids
Austin Powers in Goldmember,kids
Rush Hour 3,kids
Johnny English,kids
Reign of Fire,kids
Kung Pow: Enter the Fist,teens
Pearl Harbor,kids
Gekijô-ban poketto monsutâ - Myûtsû no gyakushû,kids
Small Soldiers,kids
Deep Impact,kids
The Saint,adults
Money Talks,adults
The Devil's Own,adults
Alien Resurrection,adults
Yat goh ho yan,kids
Eraser,adults
Waterworld,kids
Blown Away,kids
Rising Sun,adults
Loaded Weapon 1,kids
Hard Target,adults
Lionheart,adults
Kindergarten Cop,kids
Dick Tracy,kids
The Dead Pool,adults
The Toxic Avenger,adults
Mad Max Beyond Thunderdome,kids
The Cannonball Run,kids
Moonraker,adults
Death Race 2000,unrated
Sooryavanshi,kids
The Lovebirds,adults
Hitman's Wife's Bodyguard,adults
Crawl,adults
6 Underground,adults
Tomiris,unrated
Dora and the Lost City of Gold,kids
Blood Red Sky,adults
Code 8,adults
The Protégé,adults
Hotel Artemis,adults
The Girl in the Spider's Web,adults
Ambulance,kids
Jurassic World: Fallen Kingdom,kids
Mile 22,adults
Gringo,kids
Jack Reacher: Never Go Back,kids
American Ultra,adults
Heist,adults
Last Knights,adults
The Huntsman: Winter's War,kids
The Expendables 3,kids
Rampage,kids
San Andreas,kids
Hit and Run,adults
The Collection,adults
Snow White and the Huntsman,kids
Welcome to the Punch,adults
Hobo with a Shotgun,unrated
30 Minutes or Less,adults
Mortal Engines,kids
I Am Number Four,kids
"Tomorrow, When the War Began",adults
Hansel & Gretel: Witch Hunters,adults
Ride Along,teens
The Lost City,kids
Day Shift,adults
Blitz,adults
Broken City,adults
Ironclad,adults
Seeking Justice,adults
Rambo: Last Blood,adults
Crank: High Voltage,adults
Justice League,kids
Solomon Kane,adults
The Sorcerer's Apprentice,kids
Red State,adults
Big Stan,adults
Jumper,kids
Push,teens
The Sentinel,kids
Flight of the Phoenix,kids
Superman Returns,kids
Sky Captain and the World of Tomorrow,kids
Resident Evil: Apocalypse,adults
Mortal Kombat,adults
Undisputed,kids
Die Another Day,adults
Windtalkers,adults
Antitrust,kids
15 Minutes,kids
Romeo Must Die,adults
Mystery Men,teens
Men in Black II,kids
Vampires,adults
Mission: Impossible II,kids
Mercury Rising,kids
Sphere,adults
The Replacement Killers,adults
The Postman,adults
Murder at 1600,adults
Deep Rising,adults
Broken Arrow,kids
Point of No Return,adults
Universal Soldier,adults
Days of Thunder,kids
Red Heat,adults
The Karate Kid Part II,kids
Lifeforce,unrated
The Jewel of the Nile,kids
Never Say Never Again,kids
Krull,kids
Conquest of the Planet of the Apes,kids
